bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
86896,106372,2009-03-26,Senate,"Reported Favorably With Substitute S-1",3,0,0,0,3
86921,106736,2009-04-30,House,"Reported With Recommendation With Substitute H-1",11,5,0,0,16
86924,106754,2009-12-19,Senate,"Reported Favorably With Substitute S-2",10,7,0,0,17
86934,106841,2009-05-07,Senate,"Reported Favorably With Substitute S-2",4,0,0,0,4
86940,106921,2009-05-07,Senate,"Reported Favorably With Substitute S-2",4,0,0,0,4
86943,106953,2009-05-07,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
86944,106966,2009-05-07,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
86945,106975,2009-05-07,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
86947,107008,2009-04-01,Senate,"Reported Favorably With Substitute S-1",18,0,0,0,18
86956,107105,2009-03-18,House,"Reported With Recommendation Without Amendment(s)",14,0,0,0,14
86961,107148,2009-12-16,House,"Reported With Recommendation Without Amendment",7,0,0,0,7
86969,107217,2009-03-25,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
86969,107218,2010-09-14,Senate,"Reported Favorably With Substitute S-1",2,0,0,0,2
86976,107281,2009-03-11,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
86979,107320,2009-02-17,House,"Reported With Recommendation For Referral To Committee On Tax Policy",8,0,0,0,8
86980,107329,2009-03-11,House,"Reported With Recommendation Without Amendment(s)",9,0,0,0,9
86986,107404,2009-02-17,House,"Reported With Recommendation For Referral To Committee On Tax Policy",9,0,0,0,9
86996,107518,2009-02-17,House,"Reported With Recommendation Without Amendment(s)",10,0,0,0,10
87006,107623,2009-02-17,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
87006,107624,2010-11-09,House,"Reported With Recommendation With Substitute H-1",10,0,0,0,10
87007,107634,2009-02-17,House,"Reported With Recommendation With Substitute H-1",10,0,0,0,10
87007,107635,2010-11-09,House,"Reported With Recommendation With Substitute H-1",10,0,0,0,10
87010,107673,2009-03-04,House,"Reported With Recommendation Without Amendment(s)",8,0,0,0,8
87010,107674,2009-04-01,Senate,"Reported Favorably Without Amendment",3,0,0,0,3
87012,107710,2009-09-21,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
87015,107744,2009-02-17,House,"Reported With Recommendation Without Amendment",9,1,0,0,10
87015,107745,2010-11-09,House,"Reported With Recommendation Without Amendment",10,0,0,0,10
87017,107773,2009-03-19,House,"Reported With Recommendation With Substitute H-1",7,0,0,0,7
87017,107774,2009-06-24,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
87020,107822,2009-05-06,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
87020,107823,2010-09-14,Senate,"Reported Favorably Without Amendment",2,0,0,0,2
87023,107861,2009-11-10,House,"Reported With Recommendation With Substitute H-2",15,0,0,0,15
87023,107862,2010-03-02,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87033,107991,2009-10-06,Senate,"Reported Favorably With Amendment(s)",13,0,0,0,13
87035,108007,2009-04-28,House,"Reported With Recommendation Without Amendment(s)",7,0,0,0,7
87042,108084,2009-09-25,Senate,"Reported Favorably With Substitute S-1",5,0,0,0,5
87051,108186,2009-12-10,Senate,"Reported Favorably With Substitute S-1",5,0,0,0,5
87052,108203,2010-02-16,House,"Reported With Recommendation Without Amendment",10,0,0,0,10
87054,108223,2009-05-05,House,"Reported With Recommendation For Referral To Committee On Military And Veterans Affairs And Homeland Security",11,0,0,0,11
87068,108375,2009-03-03,House,"Reported With Recommendation Without Amendment(s)",6,3,0,0,9
87069,108389,2009-03-18,House,"Reported With Recommendation Without Amendment(s)",14,0,0,0,14
87069,108390,2009-10-27,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
87072,108416,2010-03-11,Senate,"Reported Favorably Without Amendment",7,0,0,0,7
87073,108428,2010-03-11,Senate,"Reported Favorably Without Amendment",7,0,0,0,7
87081,108539,2009-02-25,House,"Reported With Recommendation Without Amendment(s)",11,0,0,0,11
87085,108568,2009-03-12,House,"Reported With Recommendation Without Amendment(s)",9,0,0,0,9
87085,108569,2009-10-20,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
87090,108613,2009-03-05,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87095,108653,2009-08-19,House,"Reported With Recommendation With Substitute H-2",11,4,0,0,15
87099,108714,2010-03-11,Senate,"Reported Favorably Without Amendment",7,0,0,0,7
87108,108805,2009-12-02,House,"Reported With Recommendation With Substitute H-6",17,0,0,0,17
87109,108811,2009-04-02,Senate,"Reported Favorably With Substitute S-1",8,0,0,0,8
87115,108889,2009-10-27,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
87137,109108,2009-03-03,House,"Reported With Recommendation Without Amendment(s)",10,0,0,0,10
87137,109109,2009-03-31,Senate,"Reported Favorably Without Amendment",3,0,0,0,3
87159,109388,2009-05-27,Senate,"Reported Favorably With Substitute S-1",3,1,0,0,4
87160,109403,2009-05-07,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
87161,109405,2009-06-25,Senate,"Reported Favorably With Substitute S-1",18,0,0,0,18
87162,109410,2009-10-20,Senate,"Reported Favorably With Substitute S-2",18,0,0,0,18
87163,109418,2010-05-26,House,"Reported With Recommendation With Substitute H-1",7,0,0,0,7
87175,109555,2009-05-13,House,"Reported With Recommendation Without Amendment",11,0,0,0,11
87178,109597,2009-08-18,Senate,"Reported Favorably With Substitute S-1",3,0,0,0,3
87204,109847,2009-02-25,House,"Reported With Recommendation Without Amendment(s)",11,0,0,0,11
87207,109881,2010-02-17,House,"Reported With Recommendation Without Amendment",12,0,0,0,12
87208,109890,2010-02-17,House,"Reported With Recommendation With Amendment(s)",11,0,0,0,11
87209,109910,2010-02-17,House,"Reported With Recommendation With Amendment(s)",11,0,0,0,11
87210,109926,2010-02-17,House,"Reported With Recommendation Without Amendment",12,0,0,0,12
87233,110262,2010-03-16,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
87237,110304,2009-09-24,Senate,"Reported Favorably Without Amendment",7,1,0,0,8
87248,110468,2009-03-12,House,"Reported With Recommendation Without Amendment(s)",8,0,0,0,8
87248,110469,2009-04-01,Senate,"Reported Favorably With Substitute S-1",18,0,0,0,18
87249,110490,2009-03-12,House,"Reported With Recommendation Without Amendment(s)",8,0,0,0,8
87255,110610,2010-06-15,Senate,"Reported Favorably With Substitute S-1",4,3,0,0,7
87257,110631,2010-05-04,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87260,110657,2009-03-25,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
87275,110877,2009-12-03,House,"Reported With Recommendation With Substitute H-1",9,6,0,0,15
87277,110916,2009-03-26,House,"Reported With Recommendation With Substitute H-1",11,5,0,0,16
87278,110940,2009-03-26,House,"Reported With Recommendation With Substitute H-2",11,6,0,0,17
87280,110959,2009-03-26,House,"Reported With Recommendation With Substitute H-1",10,7,0,0,17
87286,111073,2009-06-23,Senate,"Reported Favorably With Substitute S-1",17,0,0,0,17
87287,111084,2009-06-23,Senate,"Reported Favorably With Substitute S-1",17,0,0,0,17
87288,111100,2009-06-23,Senate,"Reported Favorably With Substitute S-1",11,6,0,0,17
87289,111112,2009-06-23,Senate,"Reported Favorably With Substitute S-1",17,0,0,0,17
87292,111159,2009-06-23,Senate,"Reported Favorably With Substitute S-1",17,0,0,0,17
87298,111240,2009-06-23,Senate,"Reported Favorably With Substitute S-1",10,7,0,0,17
87304,111339,2009-03-05,House,"Reported With Recommendation With Substitute H-1",6,0,0,0,6
87304,111340,2009-03-26,Senate,"Reported Favorably With Substitute S-1",4,3,0,0,7
87305,111354,2009-03-05,House,"Reported With Recommendation With Substitute H-1",6,0,0,0,6
87305,111355,2009-03-26,Senate,"Reported Favorably With Substitute S-1",4,3,0,0,7
87306,111371,2009-03-05,House,"Reported With Recommendation With Substitute H-1",6,0,0,0,6
87306,111372,2009-03-26,Senate,"Reported Favorably With Substitute S-1",4,3,0,0,7
87310,111440,2010-09-21,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
87318,111526,2009-06-24,House,"Reported With Recommendation Without Amendment(s)",6,4,0,0,10
87321,111557,2009-04-01,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
87322,111574,2009-03-26,House,"Reported With Recommendation Without Amendment(s)",11,6,0,0,17
87331,111659,2010-04-22,Senate,"Reported Favorably Without Amendment",16,0,0,0,16
87344,111810,2010-06-24,House,"Reported With Recommendation With Substitute H-2",10,1,0,0,11
87346,111841,2010-09-22,House,"Reported With Recommendation Without Amendment",13,0,0,0,13
87352,111917,2009-06-09,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87353,111924,2009-06-09,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87358,111989,2009-03-17,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87363,112036,2010-03-04,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
87365,112064,2009-03-18,House,"Reported With Recommendation With Substitute H-1",14,0,0,0,14
87365,112065,2009-06-09,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
87366,112077,2009-03-26,Senate,"Reported Favorably With Substitute S-1",3,0,0,0,3
87367,112096,2010-03-24,House,"Reported With Recommendation With Substitute H-1",4,0,0,0,4
87373,112213,2010-11-10,House,"Reported With Recommendation With Substitute H-3",9,4,0,0,13
87374,112229,2009-04-22,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87374,112230,2009-09-10,Senate,"Reported Favorably With Substitute S-2",3,1,0,0,4
87386,112408,2010-02-10,Senate,"Reported Favorably Without Amendment",3,0,0,0,3
87389,112458,2010-09-22,Senate,"Reported Favorably With Substitute S-1",17,0,0,0,17
87394,112539,2010-03-24,House,"Reported With Recommendation With Substitute H-1",4,0,0,0,4
87395,112548,2010-03-24,House,"Reported With Recommendation With Substitute H-1",4,0,0,0,4
87396,112556,2010-03-24,House,"Reported With Recommendation With Substitute H-1",4,0,0,0,4
87397,112571,2010-03-24,House,"Reported With Recommendation With Substitute H-1",4,0,0,0,4
87398,112583,2010-03-24,House,"Reported With Recommendation With Substitute H-3",4,0,0,0,4
87399,112588,2010-03-24,House,"Reported With Recommendation With Substitute H-2",4,0,0,0,4
87400,112627,2010-03-24,House,"Reported With Recommendation With Substitute H-1",4,0,0,0,4
87401,112656,2010-03-24,House,"Reported With Recommendation With Substitute H-2",4,0,0,0,4
87402,112666,2010-03-24,House,"Reported With Recommendation With Substitute H-1",4,0,0,0,4
87403,112684,2010-03-24,House,"Reported With Recommendation With Substitute H-1",4,0,0,0,4
87404,112690,2010-03-24,House,"Reported With Recommendation With Substitute H-1",4,0,0,0,4
87416,112829,2009-11-12,Senate,"Reported Favorably With Substitute S-1",6,0,0,0,6
87419,112865,2009-06-16,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87420,112878,2009-06-16,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87430,112993,2009-05-19,Senate,"Reported Favorably With Substitute S-3",5,2,0,0,7
87433,113017,2009-03-26,Senate,"Reported Favorably Without Amendment",3,0,0,0,3
87434,113024,2010-09-21,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87448,113159,2010-11-10,House,"Reported With Recommendation With Substitute H-5",13,2,0,0,15
87449,113166,2010-11-10,House,"Reported With Recommendation With Substitute H-5",13,2,0,0,15
87450,113176,2010-11-10,House,"Reported With Recommendation With Substitute H-5",13,2,0,0,15
87451,113186,2010-11-10,House,"Reported With Recommendation With Substitute H-5",13,2,0,0,15
87452,113212,2009-06-10,House,"Reported With Recommendation With Substitute H-1",8,1,0,0,9
87458,113280,2009-03-19,House,"Reported With Recommendation With Substitute H-1",7,0,0,0,7
87458,113281,2009-06-24,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
87461,113342,2009-05-05,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
87469,113436,2009-04-29,House,"Reported With Recommendation Without Amendment(s)",7,0,0,0,7
87480,113613,2009-09-25,Senate,"Reported Favorably With Substitute S-1",5,0,0,0,5
87500,113884,2009-09-21,Senate,"Reported Favorably Without Amendment",7,0,0,0,7
87501,113911,2009-09-21,Senate,"Reported Favorably Without Amendment",7,0,0,0,7
87504,113944,2009-04-29,House,"Reported With Recommendation For Referral To Committee On Transportation",14,0,0,0,14
87506,113976,2009-09-24,Senate,"Reported Favorably Without Amendment",7,1,0,0,8
87507,113979,2009-09-24,Senate,"Reported Favorably With Amendment(s)",6,1,0,0,7
87509,114003,2009-09-24,Senate,"Reported Favorably Without Amendment",7,1,0,0,8
87510,114028,2009-09-24,Senate,"Reported Favorably With Amendment(s)",6,1,0,0,7
87514,114048,2010-07-01,House,"Reported With Recommendation With Substitute H-1",8,3,0,0,11
87519,114101,2009-03-25,House,"Reported With Recommendation Without Amendment(s)",9,0,0,0,9
87519,114102,2009-04-01,Senate,"Reported Favorably Without Amendment",18,0,0,0,18
87520,114111,2009-03-25,House,"Reported With Recommendation Without Amendment(s)",9,0,0,0,9
87520,114112,2009-04-01,Senate,"Reported Favorably Without Amendment",18,0,0,0,18
87521,114144,2009-03-25,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
87521,114145,2009-04-01,Senate,"Reported Favorably Without Amendment",3,0,0,0,3
87524,114182,2009-09-24,Senate,"Reported Favorably With Amendment(s)",7,1,0,0,8
87525,114193,2009-04-22,House,"Reported With Recommendation Without Amendment(s)",11,0,0,0,11
87525,114194,2009-06-11,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
87533,114301,2009-04-29,House,"Reported With Recommendation For Referral To Committee On Urban Policy",14,0,0,0,14
87534,114310,2009-08-05,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87535,114335,2009-08-05,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87537,114365,2009-08-05,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87538,114376,2009-08-05,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87546,114469,2009-08-05,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87547,114488,2009-08-05,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87560,114615,2009-10-27,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
87566,114750,2009-05-07,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87572,114834,2009-06-23,Senate,"Reported Favorably With Substitute S-1",16,0,0,0,16
87573,114856,2009-03-31,House,"Reported With Recommendation Without Amendment(s)",9,0,0,0,9
87574,114866,2010-01-20,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87575,114882,2010-01-20,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
87578,114942,2009-04-29,House,"Reported With Recommendation Without Amendment(s)",7,0,0,0,7
87594,115217,2009-04-02,House,"Reported With Recommendation With Substitute H-1",8,0,0,0,8
87594,115218,2009-06-18,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
87600,115290,2009-04-02,House,"Reported With Recommendation With Substitute H-2",8,0,0,0,8
87600,115291,2009-06-18,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
87608,115391,2009-05-05,House,"Reported With Recommendation Without Amendment(s)",11,0,0,0,11
87609,115398,2009-04-28,House,"Reported With Recommendation Without Amendment(s)",8,0,0,0,8
87621,115584,2009-06-18,House,"Reported With Recommendation For Referral To Committee On Military And Veterans Affairs And Homeland Security",11,0,0,0,11
87623,115604,2009-12-16,House,"Reported With Recommendation Without Amendment",6,0,0,0,6
87632,115702,2009-04-21,House,"Reported With Recommendation Without Amendment(s)",8,0,0,0,8
87632,115703,2009-05-14,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
87633,115722,2009-04-21,House,"Reported With Recommendation Without Amendment(s)",8,0,0,0,8
87644,115851,2009-08-18,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
87668,116163,2009-05-13,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87669,116178,2009-05-13,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87670,116184,2009-05-13,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87671,116195,2010-02-10,Senate,"Reported Favorably Without Amendment",3,0,0,0,3
87680,116317,2010-04-20,House,"Reported With Recommendation With Substitute H-1",18,0,0,0,18
87693,116500,2009-07-14,House,"Reported With Recommendation For Referral To Committee On Health Policy",13,0,0,0,13
87694,116512,2009-07-14,House,"Reported With Recommendation For Referral To Committee On Health Policy",13,0,0,0,13
87695,116521,2009-08-19,House,"Reported With Recommendation With Substitute H-2",11,5,0,0,16
87697,116569,2009-08-19,House,"Reported With Recommendation With Substitute H-4",11,4,0,0,15
87738,117097,2009-06-03,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87741,117140,2009-05-14,House,"Reported With Recommendation With Substitute H-2",17,0,0,0,17
87742,117162,2009-05-14,House,"Reported With Recommendation Without Amendment(s)",17,0,0,0,17
87744,117188,2009-10-20,House,"Reported With Recommendation With Substitute H-1",15,0,0,0,15
87745,117194,2009-08-19,House,"Reported With Recommendation With Substitute H-3",9,0,0,0,9
87748,117222,2009-05-19,House,"Reported With Recommendation With Substitute H-2",8,0,0,0,8
87750,117252,2010-03-11,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87751,117265,2010-05-04,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87752,117282,2010-03-11,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87755,117315,2009-12-08,House,"Reported With Recommendation With Substitute H-2",8,0,0,0,8
87756,117337,2009-12-08,House,"Reported With Recommendation With Substitute H-2",9,0,0,0,9
87757,117344,2009-09-21,Senate,"Reported Favorably Without Amendment",7,0,0,0,7
87773,117566,2009-05-20,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87780,117678,2009-05-20,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87781,117688,2009-05-20,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87781,117689,2009-06-11,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87783,117712,2009-08-18,Senate,"Reported Favorably With Substitute S-2",4,0,0,0,4
87809,118071,2010-09-22,House,"Reported With Recommendation With Substitute H-1",12,0,0,0,12
87810,118089,2010-09-22,House,"Reported With Recommendation With Substitute H-1",12,0,0,0,12
87811,118105,2010-09-22,House,"Reported With Recommendation With Substitute H-1",10,2,0,0,12
87812,118116,2010-04-29,House,"Reported With Recommendation With Substitute H-3",9,4,0,0,13
87822,118250,2009-06-24,House,"Reported With Recommendation Without Amendment",5,0,0,0,5
87822,118251,2010-01-21,Senate,"Reported Favorably Without Amendment",3,0,0,0,3
87827,118303,2010-09-22,House,"Reported With Recommendation For Referral To Committee On Military And Veterans Affairs And Homeland Security",11,0,0,0,11
87837,118403,2010-05-27,Senate,"Reported Favorably With Substitute S-3",5,0,0,0,5
87840,118441,2009-08-19,House,"Reported With Recommendation With Substitute H-2",15,0,0,0,15
87840,118442,2009-11-12,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
87841,118448,2009-08-19,House,"Reported With Recommendation With Substitute H-1",15,0,0,0,15
87841,118449,2009-11-12,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
87842,118455,2009-08-19,House,"Reported With Recommendation Without Amendment(s)",15,0,0,0,15
87842,118456,2009-11-12,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
87843,118462,2009-08-19,House,"Reported With Recommendation Without Amendment(s)",15,0,0,0,15
87843,118463,2009-11-12,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
87846,118477,2009-07-14,House,"Reported With Recommendation Without Amendment(s)",8,0,0,0,8
87846,118478,2009-10-07,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87868,118792,2009-06-23,House,"Reported With Recommendation With Substitute H-2",9,0,0,0,9
87868,118793,2010-03-09,House,"Reported With Recommendation With Substitute H-4",7,3,0,0,10
87869,118804,2009-06-23,House,"Reported With Recommendation Without Amendment",9,0,0,0,9
87869,118805,2010-02-23,Senate,"Reported Favorably With Substitute S-1",7,0,0,0,7
87871,118821,2009-08-19,House,"Reported With Recommendation With Substitute H-2",11,5,0,0,16
87880,118956,2010-03-23,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
87888,119050,2009-06-09,House,"Reported With Recommendation Without Amendment(s)",11,0,0,0,11
87889,119056,2009-06-09,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
87903,119223,2009-06-23,House,"Reported With Recommendation With Substitute H-1",10,0,0,0,10
87909,119292,2009-06-23,House,"Reported With Recommendation Without Amendment(s)",8,0,0,0,8
87923,119436,2009-10-06,Senate,"Reported Favorably With Substitute S-1",17,0,0,0,17
87924,119444,2009-10-06,Senate,"Reported Favorably With Substitute S-2",17,0,0,0,17
87937,119591,2009-06-17,House,"Reported With Recommendation Without Amendment(s)",11,0,0,0,11
87938,119601,2009-06-16,House,"Reported With Recommendation Without Amendment(s)",11,0,0,0,11
87938,119602,2009-12-10,Senate,"Reported Favorably Without Amendment",3,0,0,0,3
87939,119610,2009-06-23,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
87940,119615,2009-06-23,House,"Reported With Recommendation With Substitute H-1",9,0,0,0,9
87942,119629,2009-12-08,House,"Reported With Recommendation With Substitute H-2",16,2,0,0,18
87950,119758,2009-06-24,House,"Reported With Recommendation Without Amendment(s)",11,0,0,0,11
87951,119768,2009-06-24,House,"Reported With Recommendation Without Amendment(s)",11,0,0,0,11
87951,119769,2009-09-30,Senate,"Reported Favorably With Substitute S-2",3,1,0,0,4
87956,119862,2009-12-08,House,"Reported With Recommendation Without Amendment",16,0,0,0,16
87971,120020,2009-10-08,Senate,"Reported Favorably Without Amendment",16,2,0,0,18
87978,120102,2009-08-04,House,"Reported With Recommendation With Substitute H-1",7,1,0,0,8
87979,120123,2009-08-04,House,"Reported With Recommendation With Substitute H-1",7,1,0,0,8
87992,120239,2009-12-15,House,"Reported With Recommendation Without Amendment",10,0,0,0,10
87995,120279,2009-08-19,House,"Reported With Recommendation With Substitute H-1",11,4,0,0,15
87996,120287,2009-08-19,House,"Reported With Recommendation With Substitute H-2",11,5,0,0,16
87997,120323,2009-08-19,House,"Reported With Recommendation With Substitute H-3",11,5,0,0,16
87998,120338,2009-08-19,House,"Reported With Recommendation With Substitute H-2",9,5,0,0,14
87999,120350,2009-08-19,House,"Reported With Recommendation With Substitute H-2",10,5,0,0,15
88000,120353,2009-08-19,House,"Reported With Recommendation Without Amendment(s)",11,5,0,0,16
88001,120366,2009-08-19,House,"Reported With Recommendation With Substitute H-1",11,5,0,0,16
88002,120373,2009-08-19,House,"Reported With Recommendation With Substitute H-1",11,5,0,0,16
88048,121038,2009-08-26,House,"Reported With Recommendation With Substitute H-1",6,4,0,0,10
88049,121068,2010-09-21,Senate,"Reported Favorably With Substitute S-1",6,0,0,0,6
88050,121096,2010-09-21,Senate,"Reported Favorably With Substitute S-2",6,0,0,0,6
88051,121119,2010-03-02,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
88052,121152,2010-03-02,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
88058,121256,2009-10-06,Senate,"Reported Favorably Without Amendment",17,1,0,0,18
88085,121558,2009-09-10,House,"Reported With Recommendation Without Amendment(s)",15,0,0,0,15
88086,121575,2009-09-10,House,"Reported With Recommendation With Substitute H-3",15,0,0,0,15
88086,121576,2009-11-12,Senate,"Reported Favorably With Substitute S-1",5,0,0,0,5
88092,121681,2010-06-01,Senate,"Reported Favorably Without Amendment",17,0,0,0,17
88093,121688,2010-03-10,House,"Reported With Recommendation With Substitute H-1",5,1,0,0,6
88094,121705,2010-03-10,House,"Reported With Recommendation With Substitute H-1",6,0,0,0,6
88095,121732,2010-03-10,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
88096,121752,2009-10-08,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
88097,121758,2009-10-08,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
88122,122182,2010-04-22,House,"Reported With Recommendation With Substitute H-1",10,3,0,0,13
88124,122230,2010-05-19,Senate,"Reported Favorably With Substitute S-1",5,0,0,0,5
